Building_ID,Address,Building_Type,Build_Year,Zip,State,City,Community_Name,Community_Number,Latitude,Longitude,Location
159894,6700 S OGLESBY AVE,Residential,1907-03-01,60649.0,VA,Mingo,SOUTH SHORE,43.0,41.868633,-87.627304,"(41.77311903, -87.56893205)"
159896,5020 - 5050 S Lake Shore Dr,Residential,2012-03-01,60615.0,VA,Moorland,KENWOOD,39.0,41.80367,-87.58485,"(41.80366926, -87.58484454)"
159897,5454 S Shore Dr,Residential,1921-03-01,60615.0,VA,Campbellton,HYDE PARK,41.0,41.796234,-87.581505,"(41.79623549, -87.58150358)"
159898,5140 S Hyde Park Blvd,Residential,1957-03-01,60615.0,VA,Whitmore Village,HYDE PARK,41.0,41.80133,-87.58475,"(41.80133157, -87.58474621)"
159924,1649 E 50th Pl,Residential,1996-03-01,60615.0,VA,Cambridge,KENWOOD,39.0,41.883194,-87.628685,"(41.80405125, -87.58442765)"
159963,6840 N SACRAMENTO AVE,Residential,1907-03-01,60645.0,IA,Mingo,WEST RIDGE,2.0,41.870132,-87.70168,"(42.0061506, -87.70564326)"
159982,9141 - 9177 S South Chicago Ave,Municipal,1921-03-01,60617.0,IL,Campbellton,SOUTH CHICAGO,46.0,41.729015,-87.55426,"(41.72901449, -87.55425891)"
159983,7251 S SOUTH SHORE DR,Residential,1954-03-01,60649.0,VA,Leesburg,SOUTH SHORE,43.0,41.764874,-87.56085,"(41.76487407, -87.56085486)"
160046,444 W Lake St,Commercial,1996-03-01,60606.0,IL,Cambridge,NEAR WEST SIDE,28.0,41.889732,-87.63612,"(41.88575088, -87.63930148)"
160070,777 N Michigan Ave,Residential,1985-03-01,60611.0,VA,Reed Point,NEAR NORTH SIDE,8.0,41.896408,-87.62385,"(41.89640687, -87.62384668)"
160082,10000 W O'Hare Dr,Residential,1921-03-01,60666.0,FL,Campbellton,OHARE,76.0,41.977615,-87.90421,"(41.977617, -87.90421)"
160105,71 E Wacker Dr,Residential,2017-03-01,60601.0,VA,Goodland,LOOP,7.0,41.887375,-87.625656,"(41.88737377, -87.62565442)"
160134,400 E 41st St,Residential,1958-03-01,60653.0,VA,Churchs Ferry,GRAND BOULEVARD,38.0,41.820488,-87.61632,"(41.82048786, -87.61632029)"
160151,515 N Clark St,Residential,1969-03-01,60654.0,VA,Crisman,NEAR NORTH SIDE,6.0,41.891373,-87.631065,"(41.891372, -87.631065)"
160157,2545 W Diversey Ave,Commercial,2014-03-01,60647.0,IL,Sale Creek,LOGAN SQUARE,22.0,41.82021,-87.612465,"(41.93162561, -87.6918905)"
160163,1366 W Fullerton Ave,Residential,1925-03-01,60614.0,VA,Big Foot Prairie,LINCOLN PARK,75.0,41.925266,-87.663,"(41.92526747, -87.66299998)"
160184,29 E Madison St,Commercial,1958-03-01,60602.0,IL,Churchs Ferry,LOOP,32.0,41.88183,-87.6267,"(41.88182922, -87.6266992)"
160196,111 S Michigan Ave,Commercial,1925-03-01,60603.0,IL,Big Foot Prairie,LOOP,8.0,41.88045,-87.62423,"(41.880452, -87.624229)"
160197,220 S Michigan Ave,Commercial,1957-03-01,60604.0,NC,Whitmore Village,LOOP,32.0,41.879,-87.62512,"(41.87899988, -87.62512408)"
160198,636 S Michigan Ave,Residential,1957-03-01,60605.0,IL,Rockbridge,LOOP,32.0,41.873333,-87.62423,"(41.87333117, -87.62422947)"
160214,700 W Fullerton Ave,Commercial,2012-03-01,60614.0,VA,Moorland,LINCOLN PARK,7.0,41.925488,-87.64644,"(41.92548708, -87.64643712)"
160237,134 N LaSalle St,Commercial,2017-03-01,60602.0,IL,Goodland,LOOP,42.0,41.884125,-87.63274,"(41.88412485, -87.63273874)"
160241,500 E 33rd St,Residential,1900-03-01,60616.0,IL,Ebony,DOUGLAS,35.0,41.782066,-87.67221,"(41.83491649, -87.61417553)"
160243,765 W Adams St,Residential,1957-03-01,60661.0,KY,Whitmore Village,NEAR WEST SIDE,28.0,41.879112,-87.646515,"(41.87911301, -87.64651787)"
160244,1040 W Adams St,Residential,1914-03-01,60607.0,IL,Northgate,NEAR WEST SIDE,28.0,41.75392,-87.601974,"(41.879148, -87.653643)"
160257,1130 N Dearborn St,Residential,2012-03-01,60610.0,VA,Moorland,NEAR NORTH SIDE,8.0,41.902924,-87.63042,"(41.90292466, -87.63041353)"
160260,441 E Erie St,Residential,1966-03-01,60611.0,VA,Northchase,LAKE VIEW,6.0,41.894234,-87.61662,"(41.894233, -87.616621)"
160262,2960 S Federal St,Municipal,1925-03-01,60616.0,IL,Big Foot Prairie,DOUGLAS,28.0,41.84018,-87.629326,"(41.84018052, -87.62932246)"
160264,365 N Halsted St,Residential,1970-03-01,60661.0,KY,Snake Creek,LOOP,32.0,41.8883,-87.64749,"(41.888302, -87.647494)"
160266,469 West Huron St,Residential,1957-03-01,60654.0,VA,Whitmore Village,NEAR NORTH SIDE,8.0,41.894665,-87.64077,"(41.894664, -87.640771)"
